run_id,algorithm,mean_reward,std_reward,learning_rate,buffer_size,batch_size,gamma,exploration_fraction
0,DQN,156.5,76.42152838042432,0.001,10000,32,0.99,0.3
1,DQN,43.0,152.6302722267113,0.0005,50000,64,0.95,0.2
2,DQN,173.5,95.78752528382806,0.0001,100000,128,0.9,0.4
3,DQN,208.0,139.26952286842948,0.002,20000,16,0.99,0.25
4,DQN,168.0,101.69070754006975,0.001,50000,32,0.97,0.35
5,DQN,161.5,73.31609645909963,0.0007,75000,64,0.94,0.15
6,DQN,139.5,88.47174690261292,0.0003,100000,128,0.92,0.5
7,DQN,111.0,93.74966666607408,0.0008,25000,48,0.96,0.3
8,DQN,71.0,89.12911982062877,0.0004,80000,96,0.93,0.4
9,DQN,81.0,110.85576214162258,0.0006,60000,80,0.98,0.2
