run_id,algorithm,mean_reward,std_reward,learning_rate,gamma,hidden_size
0,REINFORCE,-191.0,221.94368655134122,0.001,0.99,64
1,REINFORCE,-549.0,108.62320194139004,0.0005,0.95,128
2,REINFORCE,-391.0,172.05812971202494,0.002,0.98,32
3,REINFORCE,61.5,57.447802394869726,0.0007,0.97,256
4,REINFORCE,-596.0,103.0970416646375,0.0003,0.96,64
5,REINFORCE,-214.5,170.54984608612227,0.01,0.99,512
6,REINFORCE,41.5,76.97564549907977,0.0008,0.94,128
7,REINFORCE,-467.5,106.44834428021885,0.0004,0.93,256
8,REINFORCE,-551.5,64.57747285238096,0.0006,0.95,64
9,REINFORCE,-46.0,232.1831173879789,0.0009,0.98,128
